Longitude,Latitude,StreamName,Zone_No,MobileZone
-123.4129875,56.61978228,Graham River,519,MOB - Graham River (US of Needham)
-121.7853899,55.96224398,Maurice Creek,765,MOB - Maurince Creek
-119.4860408,56.4119273,Clear River,55,MOB - Clear River
-121.2119664,56.00406863,Pine River,192,MOB - Pine R. - mouth to Murray
-121.2561772,54.85897382,Murray River,198,MOB - Murray R. - US of Wolverine
-121.5447574,56.17827996,Peace River,601,MOB - Peace R. - Halfway to Peace 9
-120.2591087,56.10410148,Beatton River,115,MOB - Peace R. - P3-Kiskat to Beatton
-121.0233445,56.1784468,Moberly River,295,MOB - Moberly R. - 2 to 3
-120.9431391,56.21672211,Peace River,325,MOB - Peace R. - Moberly to Peace 6
-121.8990692,55.11055014,Sukunka River,203,MOB - Sukunka R. - US of Burnt
-120.6664518,56.42602638,Holman Creek,135,MOB - Beatton River
-121.2675471,56.24202461,Cache Creek,415,MOB - Peace R. - Cache to Peace 8
-121.9824806,55.22182795,Burnt River,202,MOB - Burnt River
-121.4791977,56.22383367,Halfway River,465,MOB - Halfway R. - 1 to 2
-122.6056997,56.75710208,Halfway River,555,MOB - Halfway R. - Chowade to Cypress
-121.1593121,56.24753364,Cache Creek,385,MOB - Peace R. - Peace 7 to Cache
-123.1407025,56.71159651,Chowade River,545,MOB - Chowade R. - US of Rx
-123.1447548,56.84778246,Cypress Creek,575,MOB - Cypress Cr. - US of Rx
-120.7461012,56.15920042,Peace River,205,MOB - Peace R. - Pine to Peace 5
-121.542246,56.24633154,Halfway River,475,MOB - Halfway R. - 2 to 3
-123.5091769,56.93401066,Halfway River,595,MOB - Halfway R. - US of Fiddes
-123.3389792,56.50895765,Needham Creek,517,MOB - Needham Creek
-120.097483,56.10435028,Alces River,95,MOB - Peace R. - Alces to P3-Kiskat
-120.4546673,55.59321855,Kiskatinaw River,105,MOB - Kiskatinaw River
-120.9111413,56.19422387,Moberly River,266,MOB - Peace R. - Site C to Moberly
-121.9888136,56.37846911,Ground Birch Creek,507,MOB - Ground Birch Creek
-119.9854294,56.14757682,Peace River,85,MOB - Peace R. - Pouce Coupe to Alces
-122.3296599,55.59240529,Pine River,204,MOB - Pine R. - US of Sukunka
-122.6622202,56.6182602,Horseshoe Creek,533,MOB - Horseshoe Creek
-121.9815179,56.14782262,Lynx Creek,705,MOB - Lynx Creek
-122.270122,56.44426652,Kobes Creek,509,MOB - Kobes Creek
-122.7106189,56.84192084,Cypress Creek,565,MOB - Cypress Cr. - DS of Rx
-119.602507,56.18148058,Peace River,45,MOB - Peace R. - Peace 2 to Clear
-118.5408425,55.92302389,Peace River,5,MOB - Peace R. - DS of Many Islands
-121.657906,55.4738612,Burnt River,201,MOB - Sukunka R. - DS of Burnt
-121.6159238,56.2885667,Cameron River,485,MOB - Halfway R. - Rx. 3 to Cameron
-122.1771398,55.78934305,Moberly River,317,MOB - Moberly R. - Lake and above
-121.0198057,56.22040331,Peace River,355,MOB - Peace R. - Peace 6 to 7
-121.8912571,56.03498969,Peace River,745,MOB - Peace R. - Peace 11 to Maurice
-121.2337062,56.15705628,Moberly River,305,MOB - Moberly R. - Rx 3 to N.Monias Road Bridge
-121.3219861,55.03413859,Wolverine River,197,MOB - Wolverine River
-121.67862,56.11967957,Peace River,625,MOB - Peace R. - Peace 9 to Farell
-123.3509777,57.05471665,Turnoff Creek,588,MOB - Turnoff Creek
-121.3878197,56.23252214,Halfway River,445,MOB - Peace R. - Peace 8 to Halfway
-121.5641561,55.99143999,Moberly River,315,MOB - Moberly R. - N.Monias Br. To Lake
-121.5326228,56.42258899,Red Creek,405,MOB - Cache Creek
-120.8249335,56.19559073,Peace River,235,MOB - Peace R. - Peace 5 to Site C
-120.4477691,56.10495051,Peace River,145,MOB - Peace R. - Beatton to Peace 4
-121.8583096,56.05451952,Peace River,715,MOB - Peace R. - Lynx to Peace 11
-120.0115193,55.87553285,Pouce Coupe River,75,MOB - Pouce Coupe River
-119.2999226,56.26793411,Peace River,25,MOB - Peace R. - Peace 1 to 2
-122.1739804,56.67595566,Cameron River,495,MOB - Cameron River
-120.9584906,56.18692637,Moberly River,285,MOB - Moberly R. - 1 to 2
-123.3535805,56.91767579,Fiddes Creek,589,MOB - Fiddes Creek
-121.1365379,55.44600342,Murray River,196,MOB - Murray R. - DS of Wolverine
-119.8103983,56.16242847,Peace River,65,MOB - Peace R. - Clear to Pouce
-121.8083097,56.09928048,Dry Creek,655,MOB - Peace R. - Farell to Peace 10
-121.8196536,56.07916977,Lynx Creek,685,MOB - Peace R. - Peace 10 to Lynx
-121.7987266,56.26902545,Farrell Creek,645,MOB - Farrell Creek
-121.4475284,55.68097458,Pine River,199,MOB - Pine R. - Murray to Sukunka
-120.6116139,56.12866123,Pine River,175,MOB - Peace R. - Peace 4 to Pine
-122.6552657,56.70427466,Chowade River,535,MOB - Chowade R. - DS of Rx
-120.14997,56.33268482,Alces River,91,MOB - Alces River
-122.0589074,56.48005774,Ground Birch Creek,505,MOB - Halfway R. - Cameron to Graham
-121.9545824,56.00773448,Peace River,775,MOB - Peace R. - Maurice to PCD
-122.8587773,57.01119478,Fiddes Creek,585,MOB - Halfway R. - Cypress to Fiddes/Turnoff
-122.347,56.4628,Graham River,515,MOB - Graham River (DS of Needham)
-122.4349,56.6028,Halfway River,525,MOB - Halfway R. - Graham
-122.4162,56.6484,Unnamed Creek,531,MOB - Unnamed Creek
