Longitude,Latitude,StreamName,Zone_No,MobileZone
-121.4264745,56.65008614,Blueberry River,170,MOB - Blueberry River
-120.2591087,56.10410148,Beatton River,120,MOB - Peace R. - P3-Kiskat to Beatton
-120.9431391,56.21672211,Peace River,500,MOB - Peace R. - Moberly to Peace 6
-120.9584906,56.18692637,Moberly River,430,MOB - Moberly R. - 1 to 2
-123.1447548,56.84778246,Cypress Creek,800,MOB - Cypress Cr. - US of Rx
-121.2337062,56.15705628,Moberly River,450,MOB - Moberly R. - Rx 3 to N.Monias Road Bridge
-122.1739804,56.67595566,Cameron River,660,MOB - Cameron River
-122.7106189,56.84192084,Cypress Creek,785,MOB - Cypress Cr. - DS of Rx
-121.9824806,55.22182795,Burnt River,237,MOB - Burnt River
-123.5091769,56.93401066,Halfway River,820,MOB - Halfway R. - US of Fiddes
-120.4477691,56.10495051,Peace River,180,MOB - Peace R. - Beatton to Peace 4
-120.700125,56.36092795,Fish Creek,150,MOB - Beatton River - Fish - Doig
-122.3296599,55.59240529,Pine River,245,MOB - Pine R. - US of Sukunka
-120.9111413,56.19422387,Moberly River,410,MOB - Peace R. - Site C to Moberly
-121.4791977,56.22383367,Halfway River,620,MOB - Halfway R. - 1 to 2
-123.1407025,56.71159651,Chowade River,765,MOB - Chowade R. - US of Rx
-121.8912571,56.03498969,Peace River,955,MOB - Peace R. - Peace 11 to Maurice
-121.2119664,56.00406863,Pine River,205,MOB - Pine R. - mouth to Murray
-121.0233445,56.1784468,Moberly River,440,MOB - Moberly R. - 2 to 3
-120.097483,56.10435028,Alces River,100,MOB - Peace R. - Alces to P3-Kiskat
-122.4359979,56.6016328,Blue Grave Creek,715,MOB - Halfway R. - Graham to Chowade
-121.6907133,56.22527905,Farrell Creek,865,MOB - Farrell Creek rkm 0-46
-121.8583096,56.05451952,Peace River,935,MOB - Peace R. - Lynx to Peace 11
-120.14997,56.33268482,Alces River,90,MOB - Alces River
-123.4129875,56.61978228,Graham River,705,MOB - Graham River (US of Needham)
-121.9815179,56.14782262,Lynx Creek,925,MOB - Lynx Creek
-121.2036572,57.17373347,Holman Creek,175,MOB - Beatton River - above Blueberry
-121.0198057,56.22040331,Peace River,515,MOB - Peace R. - Peace 6 to 7
-120.8500545,56.26761535,Fish Creek,145,MOB - Fish Creek
-121.6159238,56.2885667,Cameron River,650,MOB - Halfway R. - Rx. 3 to Cameron
-121.5447574,56.17827996,Peace River,830,MOB - Peace R. - Halfway to Peace 9
-120.3983486,56.13703314,Beatton River,130,MOB - Beatton River rkm 0-10
-119.2999226,56.26793411,Peace River,20,MOB - Peace R. - Peace 1 to 2
-121.8053639,56.30694475,Farrell Creek,870,MOB - Farrell Creek rkm 46-71
-121.9571337,56.27561822,Farrell Creek,875,MOB - Farrell Creek rkm 71-117
-121.9545824,56.00773448,Peace River,985,MOB - Peace R. - Maurice to PCD
-121.7853899,55.96224398,Maurice Creek,975,MOB - Maurince Creek
-119.4860408,56.4119273,Clear River,50,MOB - Clear River
-121.772909,56.1112142,Dry Creek,885,MOB - Peace R. - Farell to Peace 10
-122.9312398,56.4726629,Needham Creek,695,MOB - Graham River (DS of Needham)
-121.257669,56.28661061,Red Creek,575,MOB - Cache Creek
-123.3389792,56.50895765,Needham Creek,700,MOB - Needham Creek
-120.4744685,56.20346777,Beatton River,135,MOB - Beatton River rkm 10-20
-121.657906,55.4738612,Burnt River,233,MOB - Sukunka R. - DS of Burnt
-122.6622202,56.6182602,Horseshoe Creek,730,MOB - Horseshoe Creek
-120.0115193,55.87553285,Pouce Coupe River,75,MOB - Pouce Coupe River
-120.7461012,56.15920042,Peace River,250,MOB - Peace R. - Pine to Peace 5
-121.3878197,56.23252214,Halfway River,600,MOB - Peace R. - Peace 8 to Halfway
-120.8249335,56.19559073,Peace River,260,MOB - Peace R. - Peace 5 to Site C
-121.9888136,56.37846911,Ground Birch Creek,675,MOB - Ground Birch Creek
-121.5655102,55.98635904,Moberly River,460,MOB - Moberly R. - N.Monias Br. To Lake (mid)
-119.9854294,56.14757682,Peace River,80,MOB - Peace R. - Pouce Coupe to Alces
-122.1771398,55.78934305,Moberly River,490,MOB - Moberly R. - Lake and above
-121.1365379,55.44600342,Murray River,213,MOB - Murray R. - DS of Wolverine
-118.5408425,55.92302389,Peace River,5,MOB - Peace R. - DS of Many Islands
-122.0589074,56.48005774,Ground Birch Creek,670,MOB - Halfway R. - Cameron to Graham
-120.697831,56.52595561,Beatton River,160,MOB - Beatton River - Doig to rkm 100
-120.5025004,56.68484975,Doig River,155,MOB - Doig River
-119.8103983,56.16242847,Peace River,60,MOB - Peace R. - Clear to Pouce
-121.2675471,56.24202461,Cache Creek,585,MOB - Peace R. - Cache to Peace 8
-121.4475284,55.68097458,Pine River,225,MOB - Pine R. - Murray to Sukunka
-122.1538579,56.20492956,Farrell Creek,880,MOB - Farrell Creek above rkm 117
-123.3535805,56.91767579,Fiddes Creek,815,MOB - Fiddes Creek
-121.2561772,54.85897382,Murray River,220,MOB - Murray R. - US of Wolverine
-121.542246,56.24633154,Halfway River,640,MOB - Halfway R. - 2 to 3
-119.602507,56.18148058,Peace River,40,MOB - Peace R. - Peace 2 to Clear
-122.6552657,56.70427466,Chowade River,745,MOB - Chowade R. - DS of Rx
-120.628455,56.26225917,Beatton River,140,MOB - Beatton River rkm 20-Fish Ck
-121.1593121,56.24753364,Cache Creek,545,MOB - Peace R. - Peace 7 to Cache
-121.5596725,55.8982212,Moberly River,465,MOB - Moberly R. - N.Monias Br. To Lake (upper)
-121.8990692,55.11055014,Sukunka River,240,MOB - Sukunka R. - US of Burnt
-122.6056997,56.75710208,Halfway River,775,MOB - Halfway R. - Chowade to Cypress
-122.270122,56.44426652,Kobes Creek,680,MOB - Kobes Creek
-120.4546673,55.59321855,Kiskatinaw River,115,MOB - Kiskatinaw River
-121.67862,56.11967957,Peace River,845,MOB - Peace R. - Peace 9 to Farell
-123.3509777,57.05471665,Turnoff Creek,810,MOB - Turnoff Creek
-120.6116139,56.12866123,Pine River,190,MOB - Peace R. - Peace 4 to Pine
-121.3219861,55.03413859,Wolverine River,217,MOB - Wolverine River
-120.746673,56.67776404,Beatton River,165,MOB - Beatton River rkm 100-Blueberry
-121.4392278,56.07312429,Moberly River,455,MOB - Moberly R. - N.Monias Br. To Lake (lower)
-122.8587773,57.01119478,Fiddes Creek,805,MOB - Halfway R. - Cypress to Fiddes/Turnoff
-121.8196536,56.07916977,Lynx Creek,900,MOB - Peace R. - Peace 10 to Lynx
-122.4310871,56.64899591,Unnamed Creek,725,MOB - Unnamed Creek
